name,type,collection,finish,grade,color,species,Species_description,grade_description,availability,thickness,RELATIVE HUMIDITY,MADE IN,warranty,INSTALLATION,RADIANT HEAT APPROVED,LEVEL,description,image
Borado WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, BORADO, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Borado.jpg
Borado WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, BORADO, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Borado.jpg
Borado RED OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, BORADO, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured",11.4 mm,35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-5-Borado.jpg
Brocade WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, BROCADE, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Brocade.jpg
Brocade WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, BROCADE, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Brocade.jpg
Brocade RED OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, BROCADE, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-5-Brocade.jpg
Byzantine HARD MAPLE,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, BYZANTINE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-5-Byzantine.jpg
Chardonnay RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, CHARDONNAY, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Chardonnay.jpg
Chardonnay HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, CHARDONNAY, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Chardonnay.jpg
Cinnamon HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, CINNAMON, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Cinnamon.jpg
Clay HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, CLAY, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Clay.jpg
Cobalt RED OAK,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, COBALT, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Cobalt.jpg
Cobalt HARD MAPLE,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, COBALT, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Cobalt.jpg
Cobblestone HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, COBBLESTONE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Cobblestone.jpg
Cotton WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, COTTON, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Cotton.jpg
Cotton WHITE OAK,Engineered, ALTA MODA, EVERSHINE™, EXCEL, COTTON, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-5-Cotton.jpg
Damask WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, DAMASK, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Damask.jpg
Damask WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, DAMASK, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"". 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Damask.jpg
Dolomite HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, DOLOMITE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Dolomite.jpg
Earth RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, EARTH, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Earth.jpg
Earth HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, EARTH, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Earth.jpg
Fedora RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, FEDORA, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Fedora.jpg
Fedora HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, FEDORA, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Fedora.jpg
